PPT,Condition,RT,Correct
1,2,0.601607768,1
1,1,0.484874006,1
1,1,0.534900097,1
1,1,0.351328969,1
1,1,0.3845977,1
1,2,0.401501119,1
1,2,0.518245646,1
1,2,0.568233539,1
1,2,0.568282135,1
1,2,0.518059271,1
1,1,0.534948666,1
1,1,0.518103884,1
1,1,0.901937014,1
1,1,0.568279667,1
1,1,0.484855218,1
1,1,0.501471007,1
1,2,0.484774663,1
1,1,0.518159295,1
1,2,0.75172689,1
1,1,0.534839709,1
1,2,0.584885557,1
1,2,0.468110621,1
1,1,0.451450711,1
1,2,0.468138194,1
1,1,0.484864437,1
1,2,0.718409962,1
1,1,0.818542807,1
1,1,0.468094274,1
1,1,0.401401631,1
1,2,0.501474968,1
1,2,0.534899518,1
1,2,0.601692001,1
1,2,0.401476853,1
1,1,0.384694195,1
1,1,0.334567977,1
1,1,0.368076527,1
1,2,0.384688202,1
1,2,0.351331548,1
1,2,0.484718807,1
1,2,0.384729274,1
1,1,0.368094509,1
1,2,0.484893727,1
1,1,0.451351648,1
1,2,0.317951892,1
1,2,0.401377336,1
1,2,0.551592226,1
1,1,0.367982538,1
1,2,0.417836999,1
1,2,0.334698629,0
1,1,0.384687546,1
1,1,0.518223463,1
1,1,0.43482636,1
1,1,0.401389217,1
1,2,0.401399418,1
1,2,0.384723326,1
1,1,0.635020896,1
1,1,0.635057747,1
1,2,0.468113147,1
1,2,0.55166673,1
1,1,0.434735552,1
1,2,0.701778574,1
1,2,0.584845069,1
1,1,0.384602254,1
1,1,0.501504257,1
1,2,0.434748013,1
1,1,0.418099852,1
1,1,0.56818617,1
1,2,0.334604544,1
1,1,0.418046705,1
1,1,1.085533278,1
1,1,0.434840046,1
1,1,0.351368635,1
